Row F4:92:BF:5D:7C:63 F4:92:BF:5D:7C:8F F4:92:BF:5D:7C:70 F4:92:BF:5D:80:1C 48:27:E2:84:3C:ED 48:27:E2:84:3D:2D 48:27:E2:84:3D:41 48:27:E2:84:3D:01 48:27:E2:84:3C:F9 00:00:00:00:00:00 X Y
56 -46 -45 -60 -102 -62 -63 -67 -60 -43 29 4 2
57 -46 -46 -60 -100 -62 -52 -56 -58 -41 33 5 2
58 -45 -49 -75 -106 -57 -57 -46 -62 -51 70 6 2
59 -44 -51 -76 -98 -57 -61 -47 -61 -47 71 7 2
60 -44 -52 -58 -107 -60 -51 -43 -69 -57 36 8 2
61 -34 -47 -55 -109 -65 -55 -8 -54 -57 30 9 2
62 -28 -47 -56 -105 -64 -47 -51 -65 -60 30 10 2
63 -37 -57 -60 -104 -60 -48 -41 -50 -60 33 11 2
64 -30 -60 -63 -95 -64 -49 -51 -58 -61 45 12 2
65 -43 -57 -58 -91 -72 -40 -54 -49 -68 31 13 2
66 -45 -52 -63 -102 -65 -36 -49 -51 -62 34 14 2
67 -49 -54 -56 -87 -68 -48 -51 -47 -68 36 15 2
68 -45 -59 -59 -87 -68 -46 -53 -59 -59 33 16 2
69 -51 -53 -54 -84 -63 -58 -53 -46 -61 32 17 2
70 -47 -62 -64 -100 -76 -57 -66 -41 -67 48 18 2
71 -52 -49 -64 -86 -71 -50 -58 -41 -65 38 19 2
72 -51 -53 -62 -82 -72 -53 -55 -52 -60 38 20 2
73 -54 -61 -57 -81 -74 -60 -54 -56 -65 37 21 2
74 -51 -54 -63 -89 -72 -52 -64 -46 -61 29 22 2
75 -58 -55 -66 -108 -75 -55 -63 -51 -74 28 23 2
76 -63 -65 -76 -92 -75 -63 -64 -53 -68 12 24 2
77 -56 -62 -71 -91 -81 -63 -75 -66 -73 36 25 2
78 -52 -34 -63 -110 -65 -57 -62 -57 -48 31 0 3	
79 -55 -43 -67 -100 -57 -65 -52 -53 -48 32 1 3
80 -46 -47 -61 -110 -59 -71 -49 -57 -43 32 2 3
81 -54 -42 -63 -106 -52 -67 -55 -55 -45 25 3 3
82 -46 -37 -63 -110 -57 -62 -51 -58 -41 30 4 3
83 -43 -49 -66 -110 -60 -52 -48 -56 -41 35 5 3
84 -46 -43 -57 -106 -54 -57 -52 -57 -43 27 6 3
85 -47 -46 -60 -109 -58 -68 -38 -58 -50 30 7 3
86 -39 -44 -64 -110 -63 -60 -43 -51 -46 36 8 3
87 -43 -46 -59 -108 -58 -49 -36 -51 -52 28 9 3
88 -36 -46 -57 -104 -59 -55 -39 -49 -58 31 10 3
89 -33 -52 -55 -94 -76 -45 -42 -54 -57 25 11 3
90 -39 -49 -57 -97 -63 -54 -49 -54 -47 41 12 3
91 -39 -54 -58 -101 -63 -42 -50 -50 -58 35 13 3
92 -39 -53 -56 -94 -65 -43 -58 -45 -53 36 14 3
93 -49 -54 -63 -86 -60 -44 -52 -48 -63 38 15 3
94 -47 -54 -58 -98 -61 -37 -57 -45 -57 37 16 3
95 -50 -54 -60 -91 -67 -49 -52 -53 -59 36 17 3
96 -50 -50 -60 -89 -68 -52 -55 -46 -68 38 18 3
97 -51 -52 -59 -89 -72 -52 -57 -43 -61 39 19 3
98 -51 -52 -61 -78 -73 -62 -57 -52 -64 38 20 3
99 -56 -52 -57 -85 -74 -55 -54 -53 -61 37 21 3
100 -52 -64 -65 -86 -75 -61 -62 -45 -58 35 22 3
101 -63 -62 -60 -90 -83 -57 -67 -50 -60 34 23 3
102 -56 -61 -69 -77 -81 -60 -61 -63 -62 10 24 3
103 -61 -61 -70 -76 -72 -59 -55 -48 -64 24 25 3
104 -51 -37 -73 -110 -59 -59 -59 -57 -51 43 0 4	
105 -47 -48 -69 -106 -55 -73 -58 -65 -53 35 1 4
106 -46 -52 -66 -98 -59 -55 -65 -65 -29 45 2 4
107 -54 -39 -60 -109 -54 -64 -49 -70 -45 27 3 4
108 -47 -34 -56 -110 -54 -61 -51 -56 -43 37 4 4
109 -41 -48 -63 -108 -58 -56 -54 -51 -51 38 5 4
110 -41 -52 -64 -96 -55 -54 -58 -58 -53 29 6 4
111 -39 -49 -65 -97 -54 -58 -43 -55 -49 28 7 4
112 -44 -43 -55 -103 -56 -47 -50 -50 -51 31 8 4
113 -47 -52 -64 -94 -60 -43 -51 -61 -50 34 9 4
114 -36 -51 -54 -86 -58 -49 -44 -52 -54 32 10 4
115 -35 -46 -59 -96 -67 -49 -41 -62 -49 34 11 4
116 -40 -47 -57 -93 -74 -44 -41 -49 -50 36 12 4
117 -33 -50 -68 -95 -66 -49 -51 -49 -52 37 13 4
118 -46 -53 -60 -99 -63 -39 -43 -46 -59 40 14 4
119 -49 -53 -55 -91 -64 -48 -63 -43 -57 44 15 4
120 -37 -49 -59 -90 -69 -48 -48 -40 -57 42 16 4
121 -42 -55 -56 -84 -67 -41 -53 -41 -56 40 17 4
122 -53 -56 -65 -87 -71 -41 -57 -41 -61 40 18 4
123 -46 -60 -56 -82 -68 -52 -55 -41 -63 38 19 4
124 -53 -56 -64 -87 -78 -49 -52 -56 -56 39 20 4
125 -63 -64 -60 -85 -73 -55 -55 -47 -59 40 21 4
126 -55 -64 -63 -89 -76 -52 -61 -50 -70 53 22 4
127 -60 -67 -67 -84 -77 -56 -65 -51 -65 20 23 4
128 -56 -65 -69 -72 -74 -59 -60 -49 -70 34 24 4
129 -56 -64 -65 -73 -82 -57 -63 -51 -63 29 25 4
130 -49 -33 -75 -110 -53 -52 -53 -63 -50 59 0 5	
131 -57 -36 -65 -108 -56 -72 -54 -54 -39 42 1 5
132 -45 -41 -66 -99 -57 -54 -53 -59 -39 38 2 5
133 -53 -38 -68 -103 -60 -58 -50 -60 -44 37 3 5
134 -47 -42 -64 -100 -59 -55 -50 -58 -37 41 4 5
135 -40 -47 -68 -104 -62 -51 -53 -73 -48 41 5 5
136 -45 -41 -64 -103 -51 -54 -52 -56 -48 29 6 5
137 -49 -49 -63 -98 -59 -52 -52 -64 -49 29 7 5
138 -34 -49 -59 -109 -63 -46 -44 -55 -53 29 8 5
139 -44 -47 -60 -102 -58 -52 -47 -55 -54 28 9 5
140 -35 -57 -57 -90 -66 -51 -51 -63 -55 31 10 5
141 -44 -47 -59 -93 -60 -44 -44 -55 -48 36 11 5
142 -39 -51 -58 -98 -74 -50 -40 -51 -50 38 12 5
143 -45 -48 -65 -96 -66 -45 -48 -53 -63 33 13 5
144 -50 -48 -61 -93 -69 -42 -46 -57 -62 36 14 5
145 -46 -56 -56 -89 -69 -38 -51 -39 -60 58 15 5
146 -46 -59 -56 -87 -78 -40 -59 -44 -65 54 16 5
147 -50 -56 -50 -91 -78 -51 -52 -43 -54 44 17 5
148 -45 -58 -57 -90 -80 -49 -54 -33 -65 35 18 5
149 -51 -56 -59 -83 -73 -52 -58 -39 -62 39 19 5
150 -51 -61 -56 -94 -76 -48 -58 -55 -58 36 20 5
151 -54 -58 -59 -79 -86 -50 -59 -46 -64 31 21 5
152 -57 -58 -66 -91 -75 -54 -63 -45 -60 32 22 5
153 -54 -65 -65 -89 -76 -62 -55 -48 -52 32 23 5
154 -58 -67 -73 -76 -81 -63 -65 -55 -61 33 24 5
155 -66 -67 -67 -73 -78 -56 -58 -56 -54 54 25 5
156 -54 -34 -77 -109 -55 -60 -66 -65 -55 67 0 6	
157 -54 -33 -68 -103 -56 -63 -47 -63 -51 61 1 6
158 -52 -43 -73 -106 -64 -58 -59 -62 -51 127 2 6
159 -52 -42 -65 -102 -55 -59 -55 -64 -50 49 3 6
160 -52 -40 -72 -98 -52 -59 -52 -61 -50 47 4 6
161 -46 -45 -62 -106 -54 -50 -51 -65 -58 53 5 6
162 -45 -52 -66 -109 -55 -53 -51 -56 -45 32 6 6
163 -46 -51 -57 -106 -60 -52 -44 -57 -54 41 7 6
164 -43 -46 -59 -109 -61 -52 -45 -57 -49 35 8 6
165 -48 -49 -54 -92 -60 -49 -46 -63 -52 29 9 6
166 -43 -48 -54 -93 -63 -52 -46 -52 -67 32 10 6
167 -38 -57 -56 -103 -65 -48 -46 -53 -58 46 11 6
168 -47 -60 -56 -87 -83 -51 -49 -48 -73 63 16 6
169 -44 -64 -46 -77 -71 -48 -53 -49 -70 57 17 6
170 -57 -55 -65 -91 -70 -53 -57 -32 -64 48 20 6
171 -46 -60 -61 -88 -76 -57 -68 -51 -66 33 21 6
172 -59 -70 -64 -71 -84 -62 -66 -60 -78 74 25 6
173 -53 -37 -83 -107 -58 -61 -64 -73 -53 62 0 7
174 -51 -40 -101 -110 -54 -65 -66 -66 -53 53 1 7
175 -54 -35 -78 -105 -59 -60 -61 -69 -49 37 2 7
176 -54 -43 -75 -108 -50 -55 -59 -65 -45 35 3 7
177 -55 -47 -70 -110 -54 -65 -55 -62 -51 44 4 7
178 -49 -51 -70 -108 -47 -51 -51 -61 -58 50 5 7
179 -46 -46 -60 -108 -61 -60 -53 -61 -56 32 6 7
180 -47 -46 -67 -109 -54 -60 -49 -62 -52 33 7 7
181 -46 -44 -63 -106 -63 -55 -49 -62 -54 30 8 7
182 -46 -55 -58 -101 -75 -49 -51 -59 -51 34 9 7
183 -42 -50 -54 -77 -77 -52 -41 -57 -52 36 10 7
184 -41 -47 -50 -110 -73 -56 -50 -57 -60 13 11 7
185 -54 -66 -50 -79 -83 -52 -64 -50 -62 53 16 7
186 -49 -66 -48 -83 -75 -53 -53 -49 -66 54 17 7
187 -56 -64 -62 -84 -75 -63 -64 -45 -70 69 20 7
188 -54 -73 -66 -95 -79 -52 -63 -50 -67 40 21 7
189 -67 -87 -66 -76 -86 -64 -68 -63 -79 60 25 7
190 -60 -31 -78 -105 -52 -65 -61 -64 -44 52 0 8
191 -49 -32 -85 -106 -61 -69 -57 -61 -42 41 1 8
192 -52 -31 -79 -105 -52 -62 -61 -78 -50 29 2 8
193 -50 -44 -73 -110 -57 -63 -59 -72 -51 24 3 8
194 -49 -45 -71 -107 -60 -58 -60 -57 -48 34 4 8
195 -47 -43 -73 -107 -51 -50 -58 -60 -53 31 5 8
196 -51 -46 -68 -105 -65 -55 -59 -59 -62 22 6 8
197 -41 -48 -66 -109 -64 -50 -53 -54 -60 21 7 8
198 -44 -50 -64 -108 -75 -54 -63 -60 -54 20 8 8
199 -51 -58 -60 -102 -74 -58 -62 -67 -61 27 9 8
200 -46 -49 -50 -97 -72 -53 -56 -58 -55 47 10 8
201 -35 -56 -47 -81 -66 -53 -51 -69 -61 36 11 8
202 -59 -65 -49 -74 -79 -50 -66 -48 -72 42 16 8
203 -52 -59 -49 -85 -80 -48 -63 -56 -66 45 17 8
204 -64 -65 -55 -83 -84 -54 -65 -48 -66 65 20 8
205 -59 -66 -56 -78 -85 -56 -66 -56 -69 46 21 8
206 -65 -84 -67 -73 -88 -65 -80 -59 -75 42 25 8
207 -54 -45 -79 -104 -46 -62 -54 -71 -48 26 5 9
208 -56 -36 -74 -109 -46 -66 -57 -64 -62 63 0 10
209 -56 -33 -81 -110 -47 -64 -59 -62 -57 41 1 10
210 -53 -36 -82 -109 -49 -54 -58 -66 -50 39 2 10
211 -56 -47 -71 -108 -42 -65 -60 -65 -50 33 3 10
212 -46 -46 -76 -110 -45 -67 -61 -66 -53 28 4 10
213 -58 -49 -81 -109 -42 -61 -55 -62 -54 31 5 10
214 -54 -43 -69 -105 -54 -61 -60 -65 -51 41 0 11
215 -55 -45 -80 -110 -49 -57 -62 -60 -50 36 1 11
216 -62 -48 -81 -110 -42 -62 -65 -66 -56 32 2 11
217 -54 -44 -75 -110 -36 -65 -58 -67 -65 25 3 11
218 -59 -48 -72 -109 -45 -63 -55 -62 -61 18 4 11
219 -52 -47 -83 -107 -59 -65 -63 -63 -62 27 5 11
220 -55 -40 -72 -105 -48 -59 -65 -72 -58 38 0 12
221 -55 -49 -76 -110 -45 -67 -68 -69 -52 41 1 12
222 -58 -42 -76 -110 -24 -73 -64 -70 -54 27 2 12
223 -57 -44 -90 -109 -41 -73 -68 -71 -58 26 3 12
224 -61 -44 -82 -109 -40 -59 -66 -77 -56 15 4 12
225 -57 -45 -82 -110 -54 -72 -64 -65 -52 28 5 12
226 -55 -58 -78 -106 -46 -74 -62 -66 -59 40 0 13
227 -56 -39 -78 -110 -51 -70 -61 -65 -52 48 1 13
228 -56 -46 -77 -110 -43 -71 -61 -76 -55 38 2 13
229 -58 -47 -78 -108 -37 -60 -70 -65 -52 19 3 13
230 -57 -46 -88 -110 -42 -65 -60 -70 -63 18 4 13
231 -53 -44 -79 -110 -50 -67 -61 -70 -49 32 5 13
232 -58 -51 -74 -110 -48 -63 -62 -62 -54 34 0 14
233 -58 -45 -80 -110 -44 -64 -59 -62 -54 42 1 14
234 -54 -46 -77 -107 -50 -62 -67 -72 -57 37 2 14
235 -56 -49 -73 -100 -39 -66 -68 -67 -55 21 3 14
236 -58 -51 -76 -103 -55 -65 -64 -70 -59 24 4 14
237 -54 -47 -73 -108 -47 -77 -67 -73 -61 28 5 14
238 -49 -53 -73 -99 -47 -63 -56 -61 -65 20 0 15
239 -57 -43 -76 -99 -46 -59 -60 -73 -53 26 1 15
240 -55 -46 -77 -99 -47 -64 -57 -67 -49 27 2 15
241 -58 -50 -78 -110 -40 -63 -68 -68 -63 36 3 15
242 -55 -50 -77 -107 -46 -78 -63 -64 -65 37 4 15
243 -60 -49 -69 -106 -64 -64 -63 -72 -50 31 5 15
